Artist,Genres,Songs,Popularity,Link,SName,SLink,Lyric,language
Ryan Adams,Rock,231.0,0.0,/ryan-adams/,Do I Wait?,/ryan-adams/do-i-wait.html,"Do I want to say the things that I say
When I know that they are wrong?
Do I wait here forever for you?
Could you ask me to?

I've been waiting here all night
If you're not gonna show
We're not gonna fight
I could stay forever if I tried
Surrounded by things
Like a shadow in the light

Do I try and stay still for you?
And the clouds will part here
In emptiness of the room
Courtesy of lyricshall.com
Do you watch me from the corner of your eye?
Do we say goodbye?

I waited in the wings for you to appear
But you're never coming back
And we're never gonna feel
Like we did
I waited all night
I tried to let you go
Like a shadow in the light
The light

Do I wait?
Do I wait for you?
Do I wait?
Do I wait for you?

Do I wait here forever for you?
Did you ask me to?",en
Warren Zevon,Rock,147.0,0.0,/warren-zevon/,For My Next Trick I'll Need A Volunteer,/warren-zevon/for-my-next-trick-ill-need-a-volunteer.html,"Warren Zevon, Zevon Music BMI

I can saw a woman in two
But you won't want to look in the box when I do
I can make love disappear
For my next trick I'll need a volunteer

I can pull a rabbit out of a hat
I can pull it out but I can't put it back
I can make love disappear
For my next trick I'll need a volunteer

It's lonely up here
When the tricks have been played
And the spotlights have faded
And the plans that we made
Have fallen apart
It's lonely as hell
And there's no magic spell
For a broken heart

You can put me in chains and I will escape
Better not wait up 'cause I might be late
I can make love disappear
For my next trick I'll need a volunteer
It's lonely up here
When the tricks have been played
And the spotlights have faded
And the plans that we made
Have fallen apart
It's lonely as hell
And there's no magic spell
For a broken heart

I can saw a woman in two
But you won't want to look in the box when I do
I can make love disappear
For my next trick I'll need a volunteer
",en
David Bowie,Rock,463.0,6.8,/david-bowie/,Shopping For Girls,/david-bowie/shopping-for-girls.html,"Between the dead ring ash of extreme defense
The lonely groups of company boys
Snapping pictures of scrawny limbs and toothy grins
These are children riding naked on their tourist pals
While the hollows that pass for eyes swell from withdrawal
And he lies on a mattress in a rat infested room
Talking 'bout his family and the cold back home

CHORUS
Between the dull cold eyes and the mind unstable
Noone over here reads the papers pal
'Tween the dull cold eyes and the mind unstable
He's a clean trick and he's shopping for girls

A small black someone jumps over the crazy white guard
Cranking up the volume of a Michael Jackson song

CHORUS

Where the frangipani scents the air
She mouths a word that breaks his stare
He grunts his reply in a garrulous croak
""That's a mighty big word for a nine year old""

CHORUS

Shopping for girls, shopping for girls

You gaze down into her eyes for a million miles
You wanna give her a name and a clean rag doll",en
The Animals,Rock,108.0,2.5,/the-animals/,It's My Life,/the-animals/its-my-life.html,"It's a hard world to get a break in
All the good things have been taken
But girl there are ways
To make certain things pay
Though I'm dressed in these rags
I'll wear sable some day
Hear what I say
I'm going to ride this serpent
No more time spent sweating rent
Hear my command?
I'm breakin' loose...it ain't no use
Holdin' me downâ€¦stickin' around
But baby, baby, remember, rememberâ€¦
It's my life and I'll do what I want
It's my mind and I'll think what I want
Show me I'm wrong â€¦hurt me sometime
But someday I'll treat you real fine
There'll be womenâ€¦and their fortunes
Who'll just want to.. more than offer thier's
Are you going to cry
When I'm squeezin' you right
Taking all I can getâ€¦no regrets
When Iâ€¦
Open their lives
And live on their money
Believe me honey...that money
Can you believe?
I ain't no saintâ€¦no complaints!
So girl before Iâ€¦????
But baby, baby, remember, rememberâ€¦
It's my life and I'll do what I want
It's my mind and I'll think what I want
Show me I'm wrong
Hurt me sometime
But someday I'll treat you real fine
It's my life and I'll do what I want
Don't push me!
It's my mind and I'll think what I want
It's my life!
It's my life and I'll do what I want
I can do what I want!
It's my mind and I'll think what I want
You can't tell me babe!
It's my life and I'll do what I want
I'll do what I want!

",en
Warren Zevon,Rock,147.0,0.0,/warren-zevon/,Model Citizen,/warren-zevon/model-citizen.html,"by Warren Zevon/Waddy Wachtel/Leroy P. Marinell
c. 1991 Zevon Music/BMI

Don't bring the milk in
Leave it on the porch
Don't read the papers
Don't mow the lawn no more
Drive to the market
At the break of dawn
Watch 'em unload the produce
Then ride right back home

It's the white man's burden
And it weighs a ton
I'm a family man
Model citizen

Torment the mailman
Terrorize the maid
Try to teach 'em some manners
Whip 'em into shape
Down in the basement
I've got a Craftsman lathe
Show it to the children
When they misbehave

It's the white man's burden
And it weighs a ton
I'm a family man
Model citizen

I'm a law-abiding man
I'm a good Samaritan
I pay my taxes when I can
Model citizen

In the cool of the evening
When the sun goes down
My wife's playing canasta
With everyone in town

When I feel the pressure
And I need a break
Load up the Winnebago
Drive it in the lake

It's the white man's burden
And it weighs a ton
I'm a family man
Model citizen
",en
Tori Amos,Rock,291.0,0.0,/tori-amos/,Never Seen Blue,/tori-amos/never-seen-blue.html,"some boy you are
to take me by the hand
through an elevator
got a little red line
that tells you, boy
where the razor's been.

you said, girl if you think
you can turn that violator
you'll finally be that woman, yes
finally be that woman
that's been frozen
in that pretty silver gown.

I've never seen blue
like the blues he drives
in and around
and through me again
i said, i've never seen eyes
like a blues he drives
in and around
and through me again
through me again
through me again

some boy you are are
to wear my color red
to wear it very proudly
and wear it like a lady
knows how to cross her legs
where the birdie's been

i've never seen blue
like the blues he drives
in and around
and through me again
said i've never seen eyes
like the blues he drives
in and around
and through me again
through me again
through me again",en
Bruce Springsteen,Rock,505.0,5.2,/bruce-springsteen/,Used Cards,/bruce-springsteen/used-cards.html,"USED CARS


My sister's in the front seat with an ice
cream cone
My ma's in the back seat sittin' all alone
As my pa steers her slow out of the lot
For a test drive down Michigan Avenue

Now, my ma, she fingers her wedding band
And watches the salesman stare at my old
man's hands
He's telling us all about the break he'd
give us
If he could, but he just can't

Well if I could, I swear I know just what
I'd do
Now, mister, the day the lottery I win
I ain't ever gonna ride in no used car
again

Now, the neighbors come from near and far
As we pull up in our brandnew used car
I wish he'd just hit the gas and let out
a cry
Tell `em all they can kiss our asses
goodbye

My dad, he sweats the same job from
mornin' to morn
Me, I walk home on the same dirty streets
where I was born
Up the block I can hear my little sister
In the front seat blowin' that horn

The sounds echoin' all down Michigan
Avenue
Now, mister, the day my numbers comes in
I ain't ever gonna ride in no used car
again
",en
Jimmy Eat World,Rock,153.0,0.0,/jimmy-eat-world/,Carry You,/jimmy-eat-world/carry-you.html,"When I know I'm all alone
I say your name slowly
and I know that I'm alone
But I carry you

Does it feel good? Like the memory?
When you try some history
It's a dream to come around
The rule doesn't bend
Because the taste doesn't taste the same again

It's easy feeling righteous when removed
All you'll get is what you want to hear
It hurts because it should
How else am I to make it clear?

I could never be the one that you want
Don't ask
Well here's to living in the moment
Cause it passed

Maybe a lie is what I need sometimes
You told the most, the best of anyone
You said to keep me in your pocket
So I carried you
You better choose your words carefully
Because I'm not your anything
Going to stay here in my place, and you'll stay in yours
Because you're only good as what you're good for

I pace around the room to spend the time
Waiting while the burning pictures fade
It's one thing to make your mind
And another to say its name

I could never be the one that you want
Don't ask
Well here's to living in the moment
Cause it passed, it passed

I'm still carrying a little hope
That maybe things could be different now
Is that so wrong?

Would I see you tonight at a place we'd go?
Could going through the motions lead to real emotion?
I wanna make things right before time runs out
It was like you said, the taste don't taste like it should
Roll down the windows, let the cold air come in
Slap my face just to feel you somehow again

I could never be the one that you want
Don't ask
Well here's to living in the moment
Because it passed",en
The Animals,Rock,108.0,2.5,/the-animals/,New York 1963/America 1968,/the-animals/new-york-1963-america-1968.html,"And when I got to America, I say it blew my mind
And when I got to America, I say it blew my mind

The Apollo Theater on a 125th street,
the place was closed, it was pouring rain,
I had a feeling I'd go there again,
The taxi driver thought I was insane,

Brown girl from the Bronx showed me her home,
We went there by subway train
She took me there time and time again
Love was our sweet song's name

And when I got to America, I say it blew my mind
And when I got to America, I say it blew my mind

The Negro was my hero and leader
His strange tasting waysâ€¦they turned me on
I tried my best to sound just like him
When he movesâ€¦he moves like lightning

Across the world the news was flashed
The country's young leader was laid to rest
Another ending of a new beginning
Others criedâ€¦some were grinning

And when I got to America, I say it blew my mind
And when I got to America, I say it blew my mind

In Central Park the children were playing
Behind the bars the tiger walked
Smiling young faces of many colours
Many young tongues were being talked
The garbage lying in the streets of the Village,
Smiling face of an unknown Bob Dylan
(do it again, man)
She was sixteen, young and so willin'
The sudden violence of a Village killin'
(and here comes the Police as usual, eh, what good are you now)

And when I got to America, I say it blew my mind
(and all ya people standing around here with your hands in your pockets)

And when I got to America, I say it blew my mind

Interview:
What did you do in the services?
What did I do in the services? I was a fighter pilot. Yeah, that's right. But they didn't like me. They didn't want me. When I was sent overseas, the first thing they told me was: ""um, we can't use you because we didn't send for you""
I was trained. The government paid, the government spent over $250,000 to train me as a pilot, and then after I got overseas, a general sent his adjutant down to meet our group to say that we didn't send for you and we don't want you. That's right. This is the truth, I'm telling you the truth! This is straight life but, ah, somehow we go onâ€¦ We go on because we would like to think there's hope. But that's a lie, there ain't no hope and that's the truth, that's the truth baby!
That's right when I know you out of the box. (laughter) Yeah, that's right! You know the town that I was born in, we didn't have no streets? It was all dirt roads, dirt roads and poor people, nobody had nothing. Matter of fact, we used to get together to have community meals. Somebody had cabbage, somebody else had some meat, somebody else had some corn mean and we'd get together and we'd make a meal, have a community dinner. That was when we were lucky and then we'd play cards. We didn't have any signals 'cause we didn't need any. Nobody had any cars. That's right! And on the corner, on particular corners, there were accidents all the time. Most of the people who were hurt in the accidents died just because nobody came to pick them up. The ambulance never came. That's right, the ambulance never came. I've just seen many a man bleed to death, lying on the streetâ€¦
There's got to be a change, there's got to be a change and there's enough people to do it! If they would get off their big fat you-know-what, and move! Because we don't have much time. There's enough people sayin', ""Ain't it a shame? Ain't it a shame? Ain't it a shame?"" Standing around. Good people, oh yeah! They all regard themselves as good people and they are full of ""ain't it a shame's"". And why don't people, why can't they see and why don't everybody do this and why don't everybody do that?
But if they, it's time for them to make a move, gets hands outta your pockets and go to work. Do something! Otherwise there gonna be nothing to do (laughter) Yeah, and that's funny!
End of Interview

Oh, hang onâ€¦
Wanna be free babe, wanna be free
I made up my mind, that's where I wanna be
That's all I wanna do, to be free, to be free
To smell the grass beneath my feet
To smile at people on the street
To be in love with everyone,
To know that life has just begun
That's where I want to be, I want to be free babe

You know when I'm feelin' good babe?
That's when I feel freeâ€¦when I feel good
And when I feel good it's because, because I'm stoned babe
(I don't believe you)
Oh yes, I'm so stoned, babe
(I don't believe you)
It's a good good feeling, oh yes it isâ€¦
(I still don't believe you)
Ohhh, I don't care if you don't believe me
(I don' believe you)
It's a good, good feelin' babe
I want to give it away
(No good will come this day)
I want to give it all away
(don't give it to me)
I'll die if I can' t give it away
(You cannot give it away)
Tell meâ€¦
(I can't tell you anything)
Tell me you want to be free, tell me, tell me,
Give me some encouragement
(I feel, I feel, I feel)
And make me baby, I want, I want to make everybody to feel free with me
(I feel, I feel all wrong, you must me wrong)
Because I know but I don't care,
Maybe I'm wrong,
(You've got to be wrong)
I know I'm wrong babe
(You're so wrong)
I'm so very very wrong and what's good for me is good for you
(You cannot be free this way)
It's got to be, oh, free me, oh, free me
(you'll never be free this way)
I got to be free
You can't tell me that I don't feel free because I feel free
(You'll never be free this way)
I wanna be free of all this, I wanna be outta here
(You'll never be free this way)

An animal would do much to protect his young. And animal will fight to the death to protect his security and future life the way I have to live it.

It's altogether something that you would definitely not understand. Nobody understands this because, take for instance Saturday night, Saturday night is a big, big experience

I think I can feel it, I think I've got it, got to be free
(is it really freedom?)
I wanna give it to youâ€¦.
",en
Marianne Faithfull,Rock,248.0,0.0,/marianne-faithfull/,Vagabond Ways,/marianne-faithfull/vagabond-ways.html,"Oh, doctor please, oh, doctor please.
I drink and I take drugs, I love sex and I move around a lot,
I had my first baby at fourteen,
And yes, I guess I do have vagabond ways.
Yes, I guess I do have vagabond ways.

Oh, doctor please, oh, doctor please,
I think you've made a mistake, I'm fine and I don't need people,
You don't understand all my choices,
But yes, I guess I do have vagabond ways,
Yes, I guess I do have vagabond ways.

Please, don't lock me up,
Please, let me stay free.
If you let me go I promise I'll never come back,
I'll take a ship across the sea.
I'm young and poor, and yes I'm afraid,
But I'll stay myself and keep my vagabond ways.

It was a long time ago, they took her child away and she was sterelized.
She died of the drink and the drugs
And yes, I guess she kept those vagabond ways,
Yes, I guess she kept those vagabond ways,
",en
